Nodes in input,Nodes in hidden,Epochs,Batch Size,Hidden Layers,Time,mse,accuracy
34,72,1000,96,3,1552635958,0.13832071145687533,0.8135426862200063
94,17,1000,112,1,1552636374,0.11764000367896012,0.8429833122394738
11,31,1000,32,1,1552637795,0.11412212923827185,0.8567222760984778
78,32,1000,32,1,1552639204,0.10190014548460799,0.8655544653374033
32,62,1000,128,4,1552639650,0.12077605344128445,0.8439646702519343
10,52,1000,64,1,1552640368,0.11302587371666836,0.8469087345794326
69,79,1000,16,1,1552643208,0.11405137883566897,0.8498527968596663
81,72,1000,80,2,1552643833,0.11773735054488037,0.8410206030582656
24,71,1000,16,3,1552646874,0.12971378592326432,0.8272816485581852
29,38,1000,96,3,1552647408,0.10955025837688147,0.8527968625325099
81,62,1000,80,1,1552648001,0.12914470738207628,0.8351324796091703
37,62,1000,64,3,1552648814,0.1427529137490191,0.7998037294386882
49,82,1000,96,4,1552649434,0.1553320098408773,0.8115799756349595
71,48,1000,96,1,1552649936,0.11530330351629715,0.8380765441121484
49,96,1000,32,1,1552651409,0.1345093804352183,0.8223748770967433
74,51,1000,16,1,1552654332,0.12823266750229,0.8321884203120935
98,53,1000,128,1,1552654712,0.11648107493356587,0.8380765483821573
63,96,1000,128,2,1552655153,0.12299724766971787,0.8400392556915808
47,100,1000,48,4,1552656321,0.1475708378557485,0.8086359184436405
62,10,1000,16,2,1552659430,0.10622108482752979,0.8606476940514411
7,50,1000,64,3,1552660255,0.10944380861971166,0.8518155045200494
7,48,1000,80,4,1552660950,0.1447290295444363,0.8047104968640942
2,84,1000,32,4,1552662636,0.14208569251900216,0.8047105010756098
65,18,1000,80,3,1552663295,0.10964845204259743,0.8527968674459449
27,16,1000,112,4,1552663786,0.11822325083353101,0.835132480837529
72,89,1000,32,1,1552665307,0.10812722474073404,0.8567222770928634
78,73,1000,64,4,1552666207,0.1455390743172789,0.796859665345163
88,76,1000,128,2,1552666650,0.12135504716979861,0.8459273794331424
61,19,1000,64,1,1552667438,0.12695317515798124,0.8302257112478718
18,83,1000,112,3,1552667978,0.10947693600314756,0.8439646603080779
87,74,1000,80,2,1552668654,0.11880090455428657,0.8341511251647994
31,48,1000,32,2,1552670252,0.14817544548124278,0.7782139359910308
71,76,1000,32,3,1552671918,0.15204124350075165,0.8017664370405779
85,71,1000,16,4,1552675310,0.11360008237377116,0.8459273800765684
7,59,1000,16,3,1552678614,0.11686366430910576,0.8282630032365291
97,38,1000,128,4,1552679067,0.114398645670304,0.8547595687890545
26,97,1000,32,3,1552680759,0.11480122826576701,0.8459273797256088
91,20,1000,80,1,1552681411,0.138161426817704,0.8105986262210101
31,93,1000,32,3,1552683117,0.13611977420184282,0.8184494610155647
49,69,1000,16,4,1552686533,0.12090019965078225,0.8312070659262158
6,11,1000,64,4,1552687421,0.11084694066564749,0.8577036307768218
10,78,1000,128,2,1552687878,0.12466445841604407,0.8370951913055892
97,49,1000,96,1,1552688431,0.12938322488061346,0.8390578970356942
8,88,1000,32,2,1552690107,0.11081990921345262,0.849852797210626
28,40,1000,48,2,1552691231,0.12514734780735778,0.84003925317637
81,45,1000,128,4,1552691714,0.14329111467867767,0.8155053945823085
59,36,1000,64,1,1552692548,0.11708456924197952,0.8449460252812379
3,31,1000,16,2,1552695932,0.1006908085676124,0.8694798825299541
24,75,1000,32,4,1552697723,0.12771965146532704,0.822374878091129
43,93,1000,48,4,1552699011,0.10661138329468485,0.8655544622957531
61,99,1000,32,4,1552700872,0.11381796222468939,0.8478900880879111
59,18,1000,64,3,1552701770,0.09847972385577997,0.8714425914186958
77,35,1000,96,1,1552702342,0.1317137766252907,0.8223748763363308
89,1,1000,48,1,1552703472,0.13053158449120564,0.84003925317637
68,89,1000,80,1,1552704152,0.13458283279928304,0.8204121679155352
42,6,1000,128,2,1552704605,0.11280821019580718,0.8478900879709246
55,6,1000,16,4,1552708208,0.11543911277253448,0.8429833169189356
14,44,1000,80,1,1552708912,0.11064925721103473,0.8498527924141777
20,1,1000,128,3,1552709379,0.17390028075100278,0.7762512287985939
98,73,1000,48,4,1552710647,0.14116648792986547,0.8066732130644951
72,100,1000,112,2,1552711203,0.12377979504757938,0.840039255106648
11,39,1000,128,2,1552711662,0.10782137815863391,0.8596663366824067
82,53,1000,128,3,1552712156,0.12126472283801808,0.8331697761018096
50,35,1000,80,4,1552712917,0.12992598185127452,0.824337583587261
7,3,1000,48,2,1552714120,0.15912794581339335,0.8017664338819412
64,6,1000,48,4,1552715361,0.12881628118301866,0.832188413760847
20,54,1000,64,1,1552716241,0.13335846465399034,0.8292443555751422
77,94,1000,32,1,1552717978,0.12102139975886583,0.8312070659262158
96,64,1000,48,4,1552719254,0.14700767748109023,0.8056918528292902
5,56,1000,48,3,1552720487,0.12943893435600345,0.8233562234105493
72,10,1000,112,2,1552721021,0.11355121666245653,0.843964673410571
72,85,1000,16,4,1552724746,0.11734970370207029,0.848871442532282
96,32,1000,80,1,1552725467,0.1309246124006932,0.8155053941143624
15,57,1000,112,2,1552726009,0.11515644072784409,0.8351324849320582
19,97,1000,48,4,1552727396,0.11897514046876306,0.8174681062202341
26,4,1000,80,3,1552728160,0.173962697357495,0.7762512185622712
59,28,1000,80,3,1552728927,0.14597120660268523,0.7939155986194405
53,87,1000,112,2,1552729499,0.11028240812655403,0.8527968608946983
44,65,1000,32,2,1552731309,0.11113024898553386,0.8469087334095672
92,99,1000,48,3,1552732626,0.1199544955107134,0.8449460226490406
39,22,1000,80,3,1552733398,0.11822416484940859,0.8390579057511919
79,54,1000,64,3,1552734367,0.13110084841950953,0.8213935219504531
51,28,1000,112,1,1552734901,0.12502103467070672,0.8331697676787784
22,32,1000,32,3,1552736798,0.11327168188250684,0.848871443175708
13,32,1000,80,1,1552737549,0.12196327423470293,0.8390578894900621
71,5,1000,32,1,1552739390,0.11034203719958238,0.8606476934080152
89,80,1000,16,1,1552743028,0.11477243822795485,0.847890088263391
99,18,1000,64,1,1552743966,0.1167806517533863,0.8547595666832966
67,76,1000,64,2,1552744930,0.11024915578320871,0.8488714437606407
54,43,1000,128,1,1552745407,0.10365573406745922,0.8724239456290936
85,62,1000,80,4,1552746269,0.15633776283825696,0.7998037301991007
57,83,1000,96,3,1552747003,0.13874838580912066,0.8194308194374781
55,100,1000,64,1,1552747939,0.1240050814629069,0.8321884205460666
92,51,1000,64,4,1552748988,0.12420826581497772,0.8213935234712783
82,70,1000,112,3,1552749610,0.11902060251503861,0.8439646668593245
58,81,1000,80,4,1552750512,0.1472698691958183,0.7870461273942073
80,99,1000,128,2,1552751064,0.11478087289205828,0.8420019642293629
97,21,1000,16,3,1552755000,0.16135881516545045,0.7978410205499463
61,99,1000,32,4,1552757100,0.1499480560926448,0.8105986256945706
64,43,1000,80,3,1552757924,0.1270171095332875,0.8331697739375585
57,83,1000,80,4,1552758831,0.13181071983644843,0.8037291458708264
34,46,1000,16,2,1552762714,0.1145145952906295,0.8390578999018645
48,12,1000,96,1,1552763374,0.1087575124337231,0.8606476923551363
55,9,1000,96,4,1552764081,0.1170901859780523,0.8429833175038683
80,14,1000,128,4,1552764611,0.11495267602014589,0.8508341517134901
15,60,1000,16,4,1552768706,0.1387134890151562,0.8145240430626013
24,98,1000,64,1,1552769668,0.11907295144955474,0.8400392546971951
12,97,1000,112,2,1552770299,0.10813954476928804,0.8527968568001691
44,38,1000,96,3,1552771002,0.14062190393645818,0.7988223689695102
2,17,1000,80,1,1552771800,0.11764559294512976,0.8508341503096516
38,30,1000,112,3,1552772416,0.12441647146354129,0.8420019607197665
83,17,1000,32,2,1552774429,0.11192091997489845,0.8439646714217998
88,75,1000,48,4,1552775904,0.15869046276082469,0.8017664379764703
1,67,1000,48,1,1552777222,0.10989774693026627,0.8557409246372638
61,65,1000,32,4,1552779310,0.12450016145909733,0.8321884199611338
32,56,1000,32,2,1552781340,0.11174132361993472,0.8547595687890545
74,64,1000,48,1,1552782670,0.12690384008933564,0.829244358090353
65,63,1000,16,4,1552786883,0.11628274354897257,0.835132482767807
12,31,1000,48,3,1552788286,0.12574837069092018,0.8331697705449487
67,12,1000,80,4,1552789151,0.12576093179584136,0.8469087336435402
54,36,1000,80,1,1552789972,0.12479616985295308,0.8233562290259034
27,9,1000,48,3,1552791397,0.16761463397969442,0.7870461200825483
62,29,1000,32,1,1552793411,0.11561112012257169,0.8518155051634754
98,70,1000,16,3,1552797564,0.12118330156984461,0.8341511284989159
84,73,1000,112,1,1552798152,0.12248605576739578,0.8459273834691783
50,91,1000,32,1,1552800188,0.11519609812840863,0.8478900880879111
91,27,1000,96,1,1552800887,0.1179073208886344,0.850834148262387
76,16,1000,64,1,1552801940,0.11365597235940038,0.8420019611877126
92,54,1000,32,4,1552804083,0.11758214261627759,0.8488714423568022
